Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval
Symptoms of Depressive Disorder,By Sexual orientation,United States,Bisexual,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,49.8,46.1,53.6,46.1 - 53.6
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,26.8,24.2,29.5,24.2 - 29.5
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,20.5,19.7,21.2,19.7 - 21.2
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,24.6,22.3,27,22.3 - 27.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,18,15.6,20.7,15.6 - 20.7
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,30.7,26.9,34.8,26.9 - 34.8
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,32,27.1,37.2,27.1 - 37.2
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,24.5,22.8,26.2,22.8 - 26.2
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,25.7,24.6,26.9,24.6 - 26.9
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,14.6,13.9,15.3,13.9 - 15.3
Symptoms of Depressive Disorder,By Disability status,United States,With disability,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,50.5,47.7,53.3,47.7 - 53.3
Symptoms of Depressive Disorder,By Disability status,United States,Without disability,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,17.5,16.7,18.3,16.7 - 18.3
Symptoms of Depressive Disorder,By State,Alabama,Alabama,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,25.3,20.9,30.2,20.9 - 30.2
Symptoms of Depressive Disorder,By State,Alaska,Alaska,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,25.2,21.7,28.9,21.7 - 28.9
Symptoms of Depressive Disorder,By State,Arizona,Arizona,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,22.4,18.6,26.5,18.6 - 26.5
Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,24.5,19.1,30.5,19.1 - 30.5
Symptoms of Depressive Disorder,By State,California,California,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,24.2,21.5,27,21.5 - 27.0
Symptoms of Depressive Disorder,By State,Colorado,Colorado,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,19.9,16.9,23,16.9 - 23.0
Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,18.7,15.3,22.6,15.3 - 22.6
Symptoms of Depressive Disorder,By State,Delaware,Delaware,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,26.1,21.7,31,21.7 - 31.0
Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,23,17.5,29.3,17.5 - 29.3
Symptoms of Depressive Disorder,By State,Florida,Florida,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,22.2,18.1,26.7,18.1 - 26.7
Symptoms of Depressive Disorder,By State,Georgia,Georgia,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,27.3,22.9,32,22.9 - 32.0
Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,17.9,13.2,23.4,13.2 - 23.4
Symptoms of Depressive Disorder,By State,Idaho,Idaho,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,19.4,15.4,23.8,15.4 - 23.8
Symptoms of Depressive Disorder,By State,Illinois,Illinois,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,20.5,17.3,24,17.3 - 24.0
Symptoms of Depressive Disorder,By State,Indiana,Indiana,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,23.2,19.5,27.2,19.5 - 27.2
Symptoms of Depressive Disorder,By State,Iowa,Iowa,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,19.7,14.1,26.3,14.1 - 26.3
Symptoms of Depressive Disorder,By State,Kansas,Kansas,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,19.1,15.8,22.7,15.8 - 22.7
Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,24.1,19,29.9,19.0 - 29.9
Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,31.3,25.9,37.1,25.9 - 37.1
Symptoms of Depressive Disorder,By State,Maine,Maine,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,17.2,12.5,22.7,12.5 - 22.7
Symptoms of Depressive Disorder,By State,Maryland,Maryland,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,18.3,15.3,21.6,15.3 - 21.6
Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,19.4,15.4,23.8,15.4 - 23.8
Symptoms of Depressive Disorder,By State,Michigan,Michigan,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,20.6,17.6,24,17.6 - 24.0
Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,17.5,14.6,20.7,14.6 - 20.7
Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,28.6,23,34.7,23.0 - 34.7
Symptoms of Depressive Disorder,By State,Missouri,Missouri,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,22.3,18.6,26.3,18.6 - 26.3
Symptoms of Depressive Disorder,By State,Montana,Montana,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,16.8,13.5,20.6,13.5 - 20.6
Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,17,13,21.5,13.0 - 21.5
Symptoms of Depressive Disorder,By State,Nevada,Nevada,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,29.3,24.6,34.4,24.6 - 34.4
Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,16.8,12.4,22,12.4 - 22.0
Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,17.7,14.2,21.7,14.2 - 21.7
Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,23.5,19.6,27.8,19.6 - 27.8
Symptoms of Depressive Disorder,By State,New York,New York,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,16.3,13.1,20,13.1 - 20.0
Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,18.7,15.1,22.7,15.1 - 22.7
Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,16.1,10.9,22.5,10.9 - 22.5
Symptoms of Depressive Disorder,By State,Ohio,Ohio,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,23.2,19.1,27.8,19.1 - 27.8
Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,28.2,23.7,33,23.7 - 33.0
Symptoms of Depressive Disorder,By State,Oregon,Oregon,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,21.7,19,24.6,19.0 - 24.6
Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,20.2,16.5,24.2,16.5 - 24.2
Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,23.5,17.9,30,17.9 - 30.0
Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,20.7,16.6,25.4,16.6 - 25.4
Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,17.5,12.4,23.6,12.4 - 23.6
Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,20.5,17,24.4,17.0 - 24.4
Symptoms of Depressive Disorder,By State,Texas,Texas,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,26.6,23.3,30.2,23.3 - 30.2
Symptoms of Depressive Disorder,By State,Utah,Utah,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,24,20.5,27.6,20.5 - 27.6
Symptoms of Depressive Disorder,By State,Vermont,Vermont,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,22.5,17.6,28,17.6 - 28.0
Symptoms of Depressive Disorder,By State,Virginia,Virginia,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,20.3,16.9,24,16.9 - 24.0
Symptoms of Depressive Disorder,By State,Washington,Washington,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,25.5,22.6,28.7,22.6 - 28.7
Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,25.4,20,31.4,20.0 - 31.4
Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,19.3,15.9,23,15.9 - 23.0
Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,21.7,16.1,28.2,16.1 - 28.2
Symptoms of Anxiety Disorder,National Estimate,United States,United States,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,27,26.1,27.8,26.1 - 27.8
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,44.8,42,47.5,42.0 - 47.5
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,34,32.1,36,32.1 - 36.0
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,29.2,27.4,31,27.4 - 31.0
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,23.7,22.3,25.2,22.3 - 25.2
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,18,16.6,19.5,16.6 - 19.5
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,11.5,10.1,13.1,10.1 - 13.1
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,13.9,10.5,17.8,10.5 - 17.8
Symptoms of Anxiety Disorder,By Sex,United States,Male,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,23.6,22.2,25.1,22.2 - 25.1
Symptoms of Anxiety Disorder,By Sex,United States,Female,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,30.1,29.2,31.1,29.2 - 31.1
Symptoms of Anxiety Disorder,By Gender identity,United States,Cis-gender male,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,22.8,21.3,24.4,21.3 - 24.4
Symptoms of Anxiety Disorder,By Gender identity,United States,Cis-gender female,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,29.6,28.6,30.6,28.6 - 30.6
Symptoms of Anxiety Disorder,By Gender identity,United States,Transgender,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,70.8,59.8,80.2,59.8 - 80.2
Symptoms of Anxiety Disorder,By Sexual orientation,United States,Gay or lesbian,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,38.4,33.8,43.3,33.8 - 43.3
Symptoms of Anxiety Disorder,By Sexual orientation,United States,Straight,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,24.3,23.5,25.1,23.5 - 25.1
Symptoms of Anxiety Disorder,By Sexual orientation,United States,Bisexual,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,57.8,53.4,62.2,53.4 - 62.2
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,32,29.2,34.9,29.2 - 34.9
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,25.2,24.3,26.1,24.3 - 26.1
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,30.1,27.5,32.9,27.5 - 32.9
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,20,17.3,23,17.3 - 23.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,38.2,34.2,42.3,34.2 - 42.3
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,32.7,28.4,37.2,28.4 - 37.2
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,27.6,25.7,29.6,25.7 - 29.6
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,31.2,30.2,32.3,30.2 - 32.3
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,21.2,20.4,22,20.4 - 22.0
Symptoms of Anxiety Disorder,By Disability status,United States,With disability,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,53.9,51.3,56.5,51.3 - 56.5
Symptoms of Anxiety Disorder,By Disability status,United States,Without disability,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,22.4,21.6,23.2,21.6 - 23.2
Symptoms of Anxiety Disorder,By State,Alabama,Alabama,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,29.9,25.4,34.6,25.4 - 34.6
Symptoms of Anxiety Disorder,By State,Alaska,Alaska,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,30.5,26.2,35,26.2 - 35.0
Symptoms of Anxiety Disorder,By State,Arizona,Arizona,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,27.2,23.2,31.6,23.2 - 31.6
Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,29.6,24.6,35,24.6 - 35.0
Symptoms of Anxiety Disorder,By State,California,California,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,26.9,24.1,29.8,24.1 - 29.8
Symptoms of Anxiety Disorder,By State,Colorado,Colorado,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,24.4,21,27.9,21.0 - 27.9
Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,21.7,17.8,26.1,17.8 - 26.1
Symptoms of Anxiety Disorder,By State,Delaware,Delaware,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,25.9,21,31.3,21.0 - 31.3
Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,28.2,20.7,36.8,20.7 - 36.8
Symptoms of Anxiety Disorder,By State,Florida,Florida,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,27.4,23.6,31.3,23.6 - 31.3
Symptoms of Anxiety Disorder,By State,Georgia,Georgia,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,30,25.6,34.7,25.6 - 34.7
Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,23.6,17.5,30.6,17.5 - 30.6
Symptoms of Anxiety Disorder,By State,Idaho,Idaho,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,24.7,20.5,29.2,20.5 - 29.2
Symptoms of Anxiety Disorder,By State,Illinois,Illinois,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,26.3,22.8,29.9,22.8 - 29.9
Symptoms of Anxiety Disorder,By State,Indiana,Indiana,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,25.6,21.7,29.7,21.7 - 29.7
Symptoms of Anxiety Disorder,By State,Iowa,Iowa,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,24.8,18.7,31.9,18.7 - 31.9
Symptoms of Anxiety Disorder,By State,Kansas,Kansas,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,26,22.1,30.1,22.1 - 30.1
Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,27.9,22.9,33.3,22.9 - 33.3
Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,36,30.4,41.9,30.4 - 41.9
Symptoms of Anxiety Disorder,By State,Maine,Maine,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,30.6,24.7,37,24.7 - 37.0
Symptoms of Anxiety Disorder,By State,Maryland,Maryland,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,24.9,21.7,28.4,21.7 - 28.4
Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,25.3,21.1,29.9,21.1 - 29.9
Symptoms of Anxiety Disorder,By State,Michigan,Michigan,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,23.8,19.8,28.1,19.8 - 28.1
Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,24.3,21.3,27.5,21.3 - 27.5
Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,28.1,22.5,34.4,22.5 - 34.4
Symptoms of Anxiety Disorder,By State,Missouri,Missouri,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,26.7,23,30.7,23.0 - 30.7
Symptoms of Anxiety Disorder,By State,Montana,Montana,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,20.1,15.2,25.7,15.2 - 25.7
Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,21.6,17.1,26.7,17.1 - 26.7
Symptoms of Anxiety Disorder,By State,Nevada,Nevada,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,32.5,28.4,36.9,28.4 - 36.9
Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,21.8,17.8,26.2,17.8 - 26.2
Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,21.6,18.2,25.3,18.2 - 25.3
Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,30.1,26.3,34.2,26.3 - 34.2
Symptoms of Anxiety Disorder,By State,New York,New York,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,22.5,19.1,26.3,19.1 - 26.3
Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,23.4,19.2,28.1,19.2 - 28.1
Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,19.9,14.8,26,14.8 - 26.0
Symptoms of Anxiety Disorder,By State,Ohio,Ohio,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,28.2,23.9,32.8,23.9 - 32.8
Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,34.6,29.7,39.8,29.7 - 39.8
Symptoms of Anxiety Disorder,By State,Oregon,Oregon,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,27.8,24.9,30.9,24.9 - 30.9
Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,24.8,21.5,28.5,21.5 - 28.5
Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,24.8,19.4,31,19.4 - 31.0
Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,29.6,25.6,33.8,25.6 - 33.8
Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,20.5,14.8,27.2,14.8 - 27.2
Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,24.6,20.7,28.9,20.7 - 28.9
Symptoms of Anxiety Disorder,By State,Texas,Texas,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,33.9,29.6,38.5,29.6 - 38.5
Symptoms of Anxiety Disorder,By State,Utah,Utah,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,27.8,24.3,31.4,24.3 - 31.4
Symptoms of Anxiety Disorder,By State,Vermont,Vermont,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,23.5,18.9,28.6,18.9 - 28.6
Symptoms of Anxiety Disorder,By State,Virginia,Virginia,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,26,22.7,29.5,22.7 - 29.5
Symptoms of Anxiety Disorder,By State,Washington,Washington,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,30.3,27.4,33.4,27.4 - 33.4
Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,30.8,24.5,37.6,24.5 - 37.6
Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,23.8,20.1,27.9,20.1 - 27.9
Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,27.8,21.4,35,21.4 - 35.0
